DATE,WILL5000INDFC
8/7/2020,161.08
8/10/2020,161.49
8/11/2020,160.13
8/12/2020,162.32
8/13/2020,162.21
8/14/2020,162.15
8/17/2020,162.88
8/18/2020,163.19
8/19/2020,162.51
8/20/2020,163.05
8/21/2020,163.45
8/24/2020,164.98
8/25/2020,165.53
8/26/2020,167.1
8/27/2020,167.46
8/28/2020,168.68
8/31/2020,168.54
9/1/2020,170.08
9/2/2020,172.27
9/3/2020,166.07
9/4/2020,164.64
9/7/2020,.
9/8/2020,159.93
9/9/2020,163.19
9/10/2020,160.54
9/11/2020,160.44
9/14/2020,163.01
9/15/2020,163.95
9/16/2020,163.38
9/17/2020,161.93
9/18/2020,160.43
9/21/2020,158.57
9/22/2020,160.22
9/23/2020,156.26
9/24/2020,156.63
9/25/2020,159.33
9/28/2020,161.98
9/29/2020,161.28
9/30/2020,162.49
10/1/2020,163.86
10/2/2020,162.46
10/5/2020,165.52
10/6/2020,163.44
10/7/2020,166.3
10/8/2020,167.73
10/9/2020,169.2
10/12/2020,171.75
10/13/2020,170.96
10/14/2020,169.82
10/15/2020,169.72
10/16/2020,169.57
10/19/2020,166.99
10/20/2020,167.59
10/21/2020,167.05
10/22/2020,168.17
10/23/2020,168.8
10/26/2020,165.65
10/27/2020,165.22
10/28/2020,159.59
10/29/2020,161.39
10/30/2020,159.09
11/2/2020,161
11/3/2020,164.12
11/4/2020,167.68
11/5/2020,171.13
11/6/2020,171.1
11/9/2020,172.71
11/10/2020,172.54
11/11/2020,174.01
11/12/2020,172.36
11/13/2020,174.67
11/16/2020,176.86
11/17/2020,176.52
11/18/2020,174.82
11/19/2020,175.84
11/20/2020,174.92
11/23/2020,176.34
11/24/2020,179.08
11/25/2020,179.14
11/26/2020,.
11/27/2020,179.85
11/30/2020,178.85
12/1/2020,180.57
12/2/2020,180.72
12/3/2020,181.13
12/4/2020,183.03
12/7/2020,182.98
12/8/2020,183.8
12/9/2020,181.96
12/10/2020,182.34
12/11/2020,182.01
12/14/2020,181.49
12/15/2020,183.88
12/16/2020,184.12
12/17/2020,185.56
12/18/2020,185.15
12/21/2020,184.69
12/22/2020,184.79
12/23/2020,184.97
12/24/2020,185.39
12/25/2020,.
12/28/2020,186.25
12/29/2020,185.51
12/30/2020,186.01
12/31/2020,186.76
1/1/2021,.
1/4/2021,184.1
1/5/2021,185.66
1/6/2021,187.11
1/7/2021,190.3
1/8/2021,191.25
1/11/2021,190.18
1/12/2021,190.87
1/13/2021,191.02
1/14/2021,190.85
1/15/2021,189.36
1/18/2021,.
1/19/2021,190.99
1/20/2021,193.38
1/21/2021,193.29
1/22/2021,193.17
1/25/2021,193.79
1/26/2021,193.26
1/27/2021,188.47
1/28/2021,190.1
1/29/2021,186.66
2/1/2021,189.87
2/2/2021,192.63
2/3/2021,192.97
2/4/2021,195.29
2/5/2021,196.42
2/8/2021,198.23
2/9/2021,198.34
2/10/2021,198.28
2/11/2021,198.63
2/12/2021,199.59
2/15/2021,.
2/16/2021,199.28
2/17/2021,198.84
2/18/2021,197.63
2/19/2021,197.99
2/22/2021,195.96
2/23/2021,195.81
2/24/2021,198.08
2/25/2021,192.73
2/26/2021,192.18
3/1/2021,197.07
3/2/2021,195.18
3/3/2021,192.13
3/4/2021,189.06
3/5/2021,192.49
3/8/2021,191.31
3/9/2021,194.57
3/10/2021,195.9
3/11/2021,198.62
3/12/2021,198.92
3/15/2021,200.34
3/16/2021,199.48
3/17/2021,200.15
3/18/2021,196.45
3/19/2021,196.8
3/22/2021,197.88
3/23/2021,195.61
3/24/2021,193.73
3/25/2021,195.03
3/26/2021,198.13
3/29/2021,197.19
3/30/2021,197.12
3/31/2021,198.28
4/1/2021,200.84
4/2/2021,.
4/5/2021,203.36
4/6/2021,203.41
4/7/2021,203.24
4/8/2021,204.42
4/9/2021,205.7
4/12/2021,205.63
4/13/2021,206.46
4/14/2021,205.77
4/15/2021,208.01
4/16/2021,208.58
4/19/2021,207.15
4/20/2021,205.35
4/21/2021,207.56
4/22/2021,206
4/23/2021,208.54
4/26/2021,209.37
4/27/2021,209.37
4/28/2021,209.27
4/29/2021,210.21
4/30/2021,208.55
5/3/2021,208.86
5/4/2021,207.08
5/5/2021,206.87
5/6/2021,207.9
5/7/2021,209.65
5/10/2021,206.95
5/11/2021,205.54
5/12/2021,200.76
5/13/2021,202.92
5/14/2021,206.55
5/17/2021,206.09
5/18/2021,204.67
5/19/2021,203.98
5/20/2021,206.27
5/21/2021,206.18
